"#1"	"#10"	"#11"	"#12"	"#13"	"#14"	"#15"	"#16"	"#17"	"#18"	"#19"	"#2"	"#20"	"#21"	"#22"	"#23"	"#24"	"#25"	"#26"	"#27"	"#29"	"#3"	"#30"	"#31"	"#33"	"#35"	"#36"	"#37"	"#38"	"#39"	"#4"	"#40"	"#41"	"#42"	"#43"	"#44"	"#45"	"#46"	"#47"	"#48"	"#49"	"#5"	"#50"	"#51"	"#52"	"#53"	"#54"	"#55"	"#56"	"#57"	"#58"	"#59"	"#6"	"#60"	"#61"	"#62"	"#64"	"#65"	"#66"	"#67"	"#68"	"#69"	"#7"	"#71"	"#72"	"#73"	"#75"	"#76"	"#77"	"#78"	"#79"	"#8"	"#80"	"#81"	"#82"	"#83"	"#84"	"#85"	"#9"
0	356.701065432206	0	0	0	0	0	0	456.991267708492	0	416.273794581159	0	0	359.175991940456	0	0	363.001917886896	0	0	378.470854021695	390.929286248338	0	0	337.451623624962	0	361.547275096933	504.998720598187	0	0	371.722502558764	448.854623240171	0	0	0	439.277027646264	569.17680449174	501.847808194796	0	414.819841319071	0	0	409.132049424575	381.947105311702	0	368.767351424697	0	0	0	0	376.541419681805	0	0	0	524.452304666222	365.274816964161	0	0	0	0	0	0	356.024846002039	338.694238059641	387.47504784437	0	442.601609605436	380.820498121095	337.027736687826	340.525227828682	0	0	0	371.903989750934	422.717819731521	357.18721360485	0	0	0	352.033627274999
356.701065432206	0	0	0	0	0	352.005794396822	349.498848074017	458.596236801482	0	426.751724091726	346.853191118733	0	397.351878732796	0	356.885293718803	375.801002037499	0	0	412.891043839986	401.981721538578	0	0	0	0	0	469.350096480539	0	0	358.385016098264	442.719379369345	0	0	0	438.135479775713	587.276899026567	517.678122265623	0	446.506364741869	0	380.276994733765	422.803042787117	367.789263177924	343.292773261509	382.1340297814	0	0	0	0	375.346848926452	0	0	0	512.659562620829	388.063601072619	0	337.298631722367	343.054528141642	0	0	0	382.165979207846	0	392.648271249986	0	454.446948264597	390.41661583637	0	354.032510766913	0	0	346.716238963695	381.283944684115	447.689722888739	379.675400151084	0	0	0	347.141454267216
0	0	0	0	0	0	0	0	396.420595208143	0	365.224376525909	0	0	339.454840380003	0	0	0	0	0	363.15385524847	0	0	0	0	0	0	449.998255427409	0	0	0	410.204362551673	0	0	0	389.41373414306	525.972223112975	423.245201102195	0	389.501837544923	0	342.195743829229	0	0	0	0	0	0	0	0	0	0	0	0	483.093450971049	338.168259934811	0	0	0	0	0	0	0	0	355.24859284571	0	409.022216531179	343.15430366675	0	0	0	0	0	0	384.288598898297	0	0	0	0	0
0	0	0	0	0	0	0	0	379.605867731773	0	342.091927711088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	415.808777070343	0	0	0	361.187674573413	0	0	0	338.427467820753	483.872884511954	420.259431368386	0	338.517328240783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	452.334838369435	0	0	0	0	0	0	0	0	0	0	0	385.141780030762	0	0	0	0	0	0	0	356.87661161476	0	0	0	0	0
0	0	0	0	0	0	0	0	425.500922880476	0	375.774829961303	0	0	339.976941953196	0	0	0	0	0	384.093457818781	359.282384050818	0	0	0	0	0	457.545484623414	0	0	0	350.243919008574	0	0	0	390.229288494109	522.595606677918	464.066514663829	0	359.70990553189	0	0	369.925579729768	0	0	344.059607251236	0	0	0	0	342.346254385728	0	0	0	493.775431980785	0	0	0	0	0	0	0	0	0	367.451802605046	0	426.492952661901	349.901091756683	0	0	0	0	0	0	406.912955334312	344.568820578826	0	0	0	0
0	0	0	0	0	0	0	0	380.816455906104	0	339.98464180938	0	0	0	0	0	0	0	0	353.967759311565	0	0	0	0	0	0	429.022684249541	0	0	0	376.182577105147	0	0	0	356.509526830358	510.53262017647	449.507006340218	0	355.124709775392	0	0	349.836134046469	0	0	0	0	0	0	0	0	0	0	0	458.204812002823	0	0	0	0	0	0	0	0	0	0	0	409.733087576502	0	0	0	0	0	0	0	385.779764072825	0	0	0	0	0
0	352.005794396822	0	0	0	0	0	0	417.00468329094	0	412.181072736427	0	0	394.093291269874	0	0	0	0	0	392.086525710933	365.861922684916	0	0	0	0	357.483524982619	475.195475385884	0	0	364.305263943816	427.443033504538	0	0	0	434.244928566116	564.9631010442	509.108163914772	0	395.793872964677	0	358.359394338036	403.158270316967	375.021879858635	0	340.343948014512	0	0	0	0	367.509381539195	0	0	0	516.475401933379	382.695780117446	0	0	0	0	0	0	343.213750790891	0	396.412675136552	0	451.994863815765	362.018647474341	0	0	0	0	0	363.695158703242	441.203242779391	0	0	0	0	0
0	349.498848074017	0	0	0	0	0	0	423.923333059482	0	412.572865492765	0	0	388.090604533177	0	0	342.902424501118	0	0	346.565653837273	385.422829846775	0	0	0	0	0	501.126292191521	0	0	353.308548212053	429.096745941323	0	0	0	426.197014241159	565.890145880158	492.369489758316	0	406.39709317766	0	356.644698090065	371.648761901144	362.374934206882	0	361.060562809468	0	0	0	0	377.008036175617	0	0	0	508.029242280058	367.402465932337	0	0	0	0	0	0	353.775945827626	0	374.09679605346	0	422.904349561778	359.456274330884	0	342.076158422869	0	0	0	356.683139077209	412.405703784182	0	0	0	0	0
456.991267708492	458.596236801482	396.420595208143	379.605867731773	425.500922880476	380.816455906104	417.00468329094	423.923333059482	0	369.381803151649	487.538892460235	436.419391727	390.96740456291	507.550291052269	417.719106809418	426.631456065217	428.157434674291	442.032794215639	427.144310793626	497.01029971187	507.221298270427	338.590044659979	413.914573186919	407.47985269999	413.08664705499	470.495615911229	616.591234458777	357.301960592382	428.267823765348	487.504965660868	522.615386290241	420.188522204833	427.600349098891	405.156281294393	506.931603954976	679.934913174179	589.289316540786	430.314695078469	494.899138265693	431.259318600328	478.512439945824	508.985118953191	483.863577935586	430.003902677895	0	408.158563739682	421.410750824594	380.913896440501	404.177187360323	476.531962151698	401.133955736189	440.684076283239	405.595604871081	378.783384714113	488.035692788952	402.032535802466	397.351888820225	460.534313717229	344.253987232026	412.913390695957	404.690651409537	455.814172126823	418.602964757271	497.045492179678	411.929190376981	531.065960669772	486.358343509867	419.756335970341	432.62142909872	413.87080268072	0	413.908440437436	477.116894400362	526.093197141617	464.702387933436	343.422939456905	388.357159493443	405.22467848847	432.662835592789
0	0	0	0	0	0	0	0	369.381803151649	0	344.34206340898	0	0	0	0	0	0	0	0	362.612045058718	0	0	0	0	0	0	435.745502817338	0	0	0	368.301363682261	0	0	0	373.657855110528	506.744910875185	440.368814468887	0	345.855653040785	0	0	358.618116715086	0	0	0	0	0	0	0	0	0	0	0	464.267998554456	0	0	0	0	0	0	0	0	0	352.858054115688	0	398.876575126477	0	0	0	0	0	0	0	372.769164775351	0	0	0	0	0
