"#1"	"#10"	"#11"	"#12"	"#13"	"#14"	"#15"	"#16"	"#17"	"#18"	"#19"	"#2"	"#20"	"#21"	"#22"	"#23"	"#24"	"#25"	"#26"	"#27"	"#28"	"#29"	"#3"	"#30"	"#31"	"#33"	"#35"	"#36"	"#37"	"#38"	"#39"	"#4"	"#40"	"#41"	"#42"	"#43"	"#44"	"#45"	"#46"	"#47"	"#48"	"#49"	"#5"	"#50"	"#51"	"#52"	"#53"	"#54"	"#55"	"#56"	"#57"	"#58"	"#59"	"#6"	"#60"	"#61"	"#62"	"#64"	"#65"	"#66"	"#67"	"#68"	"#69"	"#7"	"#70"	"#71"	"#72"	"#73"	"#75"	"#76"	"#77"	"#78"	"#79"	"#8"	"#80"	"#81"	"#82"	"#83"	"#84"	"#85"	"#9"
0	1001.29025452634	1116.62184739144	0	0	0	1050.86055694435	0	1002.77783481308	0	993.054634517798	0	0	0	994.392638518133	1099.92199532542	1163.26170407777	994.580456432601	0	0	0	1023.13774101935	0	0	1083.00737521039	0	999.100682594603	1141.90032680473	0	0	0	1109.76650711612	1172.07160065301	0	0	1161.50105206398	1267.02413879763	1145.09487001919	1036.28748405436	0	0	0	1166.64854291478	1076.93832225395	0	0	995.783470573566	0	0	1026.71177821565	1068.73665237344	0	1005.47263059533	0	1172.4809245206	0	1030.2578489807	0	0	0	1093.45195012209	0	1061.55264733228	1022.73992165751	0	999.477438092884	0	1002.55733627428	0	0	1044.78880436409	991.581629529661	0	0	0	1206.64187123417	1033.41846170675	0	996.241234211282	1042.70031391263	1099.73447499943
1001.29025452634	0	1199.6449664444	1011.84152727992	0	0	1162.31687751104	1001.06807146942	1044.97805277579	1049.77225010504	1072.49368838858	1032.01792408461	1027.17034361386	1019.08368535378	1081.15453659436	1159.42311130162	1230.00652060641	1206.62571789924	1059.36024671507	1017.64659680673	0	1084.58822539571	0	1100.32846791619	1114.30202292637	0	0	1237.43621581304	0	0	992.9923496182	1147.40712088531	1199.21011587339	1004.95063290239	0	1222.95275615498	1383.96018084024	1249.83591626899	1082.64047585807	0	0	1165.09056603251	1230.3339953355	1070.3444107382	1040.14925125673	998.041957216784	1064.35141081285	0	1029.37070302124	1053.57944103101	1135.69566400592	1073.36857321419	0	0	1177.73652252991	1074.32455916779	1115.5645427963	1026.36121161933	1040.08962460191	997.1936392772	1127.98061430548	1055.45680777261	1126.91057939833	1077.78189167887	0	1094.80017008391	0	1069.37226353053	1102.95959330461	0	1128.90383224919	1007.40194009808	0	995.147669531262	1003.47781086918	1296.81457406928	1105.31545702287	0	1082.47007556226	1146.25455143749	1145.11714227845
1116.62184739144	1199.6449664444	0	1050.39380269318	1085.32904898825	1051.49783664669	1212.34179846114	1099.89162336724	1063.62132397917	1047.15583190053	1070.83394540531	1105.84164138791	0	1199.52238881192	1198.21688296947	1235.53485062277	1126.34516147736	1287.89482992901	1095.45711671554	1105.41013775952	0	1068.28319219189	0	1164.45952556069	1173.95275364943	0	1102.40948553944	1314.16725495044	0	1061.05038162988	1103.84157179484	1244.54872202608	1127.05199075081	1107.42853881655	1051.67754518779	1245.34567267174	1275.06283113474	1051.7678773583	1121.3347207002	0	0	1268.87276124197	0	1186.38703720846	1062.81698712137	1051.75929078289	1047.99645172349	1022.82285480155	0	1174.34865012466	1197.45760267334	1152.68981648614	1155.72012447839	1110.28632736133	1259.78668085958	1156.95653407152	1268.01321734177	1021.2395993203	1119.73224191352	1020.89393665234	1109.25813598495	1128.94340580456	1100.58728819343	1129.80293221822	0	1202.06216303786	0	1037.84659201316	1157.03385237208	1074.52794707177	1117.48021389903	1160.57966638014	0	0	1013.08605951567	1188.53794409016	1124.85235729139	0	1220.73294826743	1182.31699925102	0
0	1011.84152727992	1050.39380269318	0	0	0	1054.41783799216	0	0	0	0	0	0	1071.43793663454	997.490068571499	0	1050.5189923748	1080.08794072392	0	0	0	1017.95188459341	0	1017.9302581396	1017.04146927606	0	0	1189.55451734424	0	0	0	1073.25110813691	1100.03441541233	0	0	1124.172619593	1236.6195703526	1074.23220146277	0	0	0	1068.80150193771	1080.65227775791	1053.73885250297	0	0	0	0	0	993.095519270759	1037.57479047968	0	0	0	1144.67045222547	1031.77507307867	1022.25503060668	0	0	0	1019.66720455317	1005.6371113436	0	0	0	1037.10296427663	0	0	1006.74950704774	0	994.427007905848	1026.96348096785	0	0	0	1171.68016446522	1070.0463674054	0	1033.3928587525	1047.27674445644	1022.765019818
0	0	1085.32904898825	0	0	0	1111.35739007568	992.633625853613	0	0	1026.2744447972	0	993.359231618315	1061.42924100887	1039.4683947327	1102.45951403544	1169.67976281997	1104.52788918141	0	0	0	1044.69538298608	0	999.429018686409	997.991718810488	0	0	1133.167121414	0	0	0	1004.81403403968	1089.6319180913	0	0	1171.38307794538	1279.15868169533	1113.6429557529	995.812450866664	0	0	1074.94508288219	1062.92544802213	1064.00649765088	0	0	0	0	0	1009.98670789301	1042.42825771503	1032.65192466314	999.67376328823	0	1073.26396816955	0	1052.29533654961	0	0	0	1036.37501808664	0	1035.42609514812	0	0	1001.40334629593	0	1024.07071432987	0	0	1087.24081108565	0	0	0	0	1240.19665462947	1086.0906239992	0	1027.26960811389	1068.4511287866	1069.70397411481
0	0	1051.49783664669	0	0	0	1037.18666079133	0	0	0	0	0	0	0	0	1042.01324348563	1115.10831576862	1090.4934763935	0	0	0	0	0	0	0	0	0	1110.06955652405	0	0	0	1009.85957027331	1064.42299853629	0	0	1126.96086694815	1254.7038828229	1100.69781739289	0	0	0	1033.27626546032	1100.77479422672	995.234336194175	0	0	0	0	0	0	1023.26388495848	990.9887726901	0	0	991.36480583712	0	1016.63708916265	0	0	0	1018.09745765745	0	1002.42326603452	0	0	0	0	0	0	0	1033.49943151602	0	0	0	0	1150.73912329855	1027.14532477618	0	998.384468441084	999.97410251972	1045.1665222842
1050.86055694435	1162.31687751104	1212.34179846114	1054.41783799216	1111.35739007568	1037.18666079133	0	1009.57706904178	1037.97493632697	1088.45725750593	1099.0118666797	1052.54101963584	1070.75865115243	1223.71247434975	1123.3545180785	1169.49811997709	1233.91448487595	1168.30758515196	1131.4798479919	1004.47807598995	0	1121.67464493193	0	1115.9096285733	1190.91884728469	0	1047.22491816164	1000.49627804416	0	0	1041.93173208465	1198.69968150984	0	1063.82005332909	996.150717784857	1269.60891352957	1096.60269380631	1008.14627785477	1140.68150533579	0	0	1161.94597272013	1252.64138442305	1151.65961391331	1046.18578613278	1013.65840209691	1120.85885940277	1003.41203254618	1030.87560413368	1132.74737493785	1159.34715466613	1127.50871247685	1059.92308592517	1068.11562040697	994.893330819062	1131.55577785233	1163.09927568996	1020.56490999151	1036.37180852492	1053.61343587941	1144.85229086473	1106.12906242439	1157.67230864043	1104.39913728493	0	1142.0942745428	1013.72086381385	1104.57502499102	1071.7704376598	1028.82613482961	1136.62723302232	1137.07439419196	0	1038.23384225081	1067.5323240099	1266.60013862081	1149.08639018843	0	1163.8572045178	0	1202.74658626743
0	1001.06807146942	1099.89162336724	0	992.633625853613	0	1009.57706904178	0	0	0	0	0	0	1070.11162928344	1001.13075956289	1056.65266604113	1170.97818594267	1064.57426017143	0	0	0	996.391784574724	0	990.640606653706	1031.9382576454	0	0	1104.91054672306	0	0	0	1089.77090023631	1125.41979005319	0	0	1139.1223659276	1256.14805868126	1110.93835068154	1047.91154227807	0	0	1031.70115030131	1135.95398626059	1008.09330518146	0	0	0	0	0	1030.48129803095	1057.85883433652	1001.88611817013	0	0	1154.05213276308	1034.89004350898	1075.17247626842	0	0	0	1063.62769633968	0	1051.13678645107	0	0	995.034978814394	0	0	0	0	1097.9528266622	1053.9931386738	0	0	0	1163.53652477052	1027.93624308658	0	0	0	1078.42417462305
1002.77783481308	1044.97805277579	1063.62132397917	0	0	0	1037.97493632697	0	0	0	0	0	0	1123.92701363436	1038.70680802931	1112.42572582704	1086.13431831669	1187.84986523644	0	0	0	1038.69030240558	0	1046.77103667995	1029.10479832654	0	1071.31122319373	1229.77992763842	0	0	0	1068.78847024595	1135.92747158924	0	0	1155.99640633496	1282.9528383077	1104.76238476664	1024.95224170898	0	0	1099.16003323082	1101.8148773993	1097.3941802021	998.203077909826	0	0	0	0	1032.87574224855	1046.89906695983	1027.43491465711	1015.57176675442	991.82626184786	0	1049.73646138848	1102.06935653958	0	991.16476348407	0	1049.75409092687	990.716878145142	1028.11441686824	0	0	1044.67476040727	0	1003.38857303343	1017.38177566214	0	1027.63920556261	1057.84481778503	0	0	0	1145.76691744034	1059.90795356513	0	1083.35066753461	1043.87561337129	1025.08303847693
0	1049.77225010504	1047.15583190053	0	0	0	1088.45725750593	0	0	0	0	990.511383547701	0	1077.77849425055	1030.78000509014	1067.03296839943	1103.88119203762	1080.38868708774	999.317758487138	0	0	0	0	1038.54743259285	1051.92521063038	0	1010.88526047305	1165.44737919192	0	0	0	1078.11840733346	1132.26309464336	0	0	1171.00913475608	1261.86806827054	1117.11504744326	1012.5880791394	0	0	1085.74692283541	1099.69541805928	1061.04410740226	0	0	0	0	0	1076.82162180466	1010.55569260325	1028.16668746304	1001.77039638464	0	1168.7497321127	1062.65683063551	1109.33140222942	0	999.470678251982	0	1017.34347160059	1006.98567253093	0	0	0	1078.0443503711	0	0	1042.57916849709	0	1064.54245338254	1082.61925582969	0	0	0	1145.49665199696	1000.556506055	0	1080.25603285956	1061.09365313416	1029.82420882938
993.054634517798	1072.49368838858	1070.83394540531	0	1026.2744447972	0	1099.0118666797	0	0	0	0	1029.82635629101	0	1067.22512100455	1058.77961461517	1135.5900040324	1123.96911146672	1097.90254641236	1016.83084927229	0	0	0	0	1054.92402876638	1069.31955426217	0	1001.99635729408	1157.52108614552	0	0	0	1120.32933957498	1179.36168454026	1036.61825148991	0	1217.96106675838	1271.51835008379	1146.53224214432	1072.21505013688	0	0	1131.88855890641	1154.15592104517	1103.81467329455	0	0	1029.22538635931	0	0	1115.75583746239	1089.46644596967	1093.56275996664	1086.0478181109	993.636798585724	1182.77975705864	1047.06321160736	1103.39749420299	1011.49372058651	996.081124920862	0	1071.32831145488	1048.14014148167	1046.61497975343	992.209321400949	0	1056.27141270683	0	0	1041.30695614702	0	1101.90677933413	1112.92166705906	0	0	0	1122.93398326482	1020.0647673938	0	1104.88087185775	1091.35933483961	1081.0714394708
0	1032.01792408461	1105.84164138791	0	0	0	1052.54101963584	0	0	990.511383547701	1029.82635629101	0	0	1044.50463654052	991.914238603739	1098.87362550834	1157.36753136996	1102.77690444683	0	0	0	1030.49349954673	0	0	1009.342117216	0	1018.74527703443	1165.10159755138	0	0	0	0	1090.46601305028	0	0	1181.8479119969	1267.23204447052	1134.64423338085	1019.17225371232	0	0	1008.30172993741	1149.63330453065	1083.97492937365	0	0	0	0	0	0	1032.58655494212	0	0	0	1117.38306260067	0	1066.64152984393	0	0	0	1081.39894620992	0	998.182733368352	991.515063257504	0	1005.3171889213	0	1000.35761592586	0	0	1065.46614156346	0	0	0	0	1213.99017855954	1084.77846689489	0	999.254057575315	1085.07783841388	1094.44403816365
0	1027.17034361386	0	0	993.359231618315	0	1070.75865115243	0	0	0	0	0	0	1060.77825345348	1037.91130468127	1054.6989213077	1101.42098386581	1098.5979500436	0	0	0	0	0	1023.91321886748	1032.51530043576	0	0	1145.38598036736	0	0	0	1073.93278637872	1094.8682476832	997.111017697696	0	1173.52691874172	1241.06395899198	1033.28305571751	0	0	0	1113.02450811202	1063.85037987175	1047.32736728063	0	0	0	0	0	1072.26525095895	1071.30429716197	0	1004.81701155519	0	1135.59099702127	1033.4314292145	1107.95872838506	0	0	0	0	1002.4514479684	0	1001.72313647102	0	1024.40074345767	0	0	1000.79623581942	0	1060.08226325031	1015.24264728765	0	0	0	1142.00015767759	1025.07868227905	0	1070.71739016972	998.978597818703	1015.28402634093
0	1019.08368535378	1199.52238881192	1071.43793663454	1061.42924100887	0	1223.71247434975	1070.11162928344	1123.92701363436	1077.77849425055	1067.22512100455	1044.50463654052	1060.77825345348	0	1135.2669970899	1196.20639689958	1288.6561195108	1177.69999153455	1084.12789462592	1053.60651791705	998.721160302337	0	993.448848469501	1157.48798035401	1161.5764004327	0	0	1201.69827151353	0	1055.2862321847	1032.98760491818	1144.97601359634	1275.84492543348	1062.25498429296	1066.28314674994	1297.27908259801	1380.41726209945	1268.26956191265	1143.3810504573	0	0	1176.952469171	1270.79867238032	1097.42560248056	1053.11703521012	1105.09935711973	1077.54709423784	0	1035.97756475304	1103.17081212808	1175.87377023388	1100.35339063053	1107.73405767718	1037.08862555156	1257.6265318504	1084.29111505231	1152.09809601944	1085.13166678561	1061.32533115849	1059.91199197775	1190.56261127817	1079.90330648428	1146.13521827934	1116.03613939987	0	1099.22466184315	0	1131.7172151987	1092.54747946166	1005.37332596452	1175.595894249	1128.49294636367	0	1065.0797556901	999.290988852857	1321.48643040165	1144.27406238422	0	1137.06479400559	1193.42417501651	1192.92458505603
994.392638518133	1081.15453659436	1198.21688296947	997.490068571499	1039.4683947327	0	1123.3545180785	1001.13075956289	1038.70680802931	1030.78000509014	1058.77961461517	991.914238603739	1037.91130468127	1135.2669970899	0	1192.74091154771	1244.38534348996	1138.37123575597	1067.67206296383	0	0	1091.06834592671	0	1028.31121636329	1140.61200743397	0	1089.05907562436	1223.54966016201	0	0	0	1137.67244657808	1231.96000757641	1040.20984700513	991.029879318398	1249.90655332688	1335.79272176517	1193.55002695103	1102.80641633929	0	0	1087.21932119753	1206.20842268037	1146.06939560625	1032.90780111977	0	1081.75779913641	0	1008.56966001089	1026.40032717508	1101.53968669286	1059.12975564696	1054.69629910886	1025.82936653288	1238.68719104666	1076.67233834431	0	1033.71624105477	0	1007.74827811559	1136.62373941233	1020.11228694276	1133.91545545081	1100.29398981528	0	0	0	1040.00360573228	1006.2076647117	0	1157.58641332065	1092.42705743495	0	0	1043.53033237576	1232.13131086088	1018.84911974735	0	1041.75498252235	1119.14614541252	1145.05923896791
